userIndex,aloneHow,eatAlone,eatDate,eatTogether
145,밖에서 사 먹는다.,"일식(초밥, 돈부리 등)",,고기
146,배달을 시킨다.,햄버거,파스타,고기
147,집에서 음식을 해 먹는다.,면류,초밥,닭발
148,밖에서 사 먹는다.,샌드위치,,파스타
149,밖에서 사 먹는다.,볶음우동,,고기
150,집에서 음식을 해 먹는다.,라면,파스타,파스타
151,밖에서 사 먹는다.,김치찌개,파스타,족발
152,밖에서 사 먹는다.,쌀국수,애인이 해준 밥 0.<,피자
153,밖에서 사 먹는다.,컵라면,고기,찜닭
154,배달을 시킨다.,햄버거,없다,국밥
155,밖에서 사 먹는다.,라멘,먼저 데이트를 할 사람이 있는지 물어봐주세요...ㅜㅜ,치킨
156,배달을 시킨다.,치킨,,치킨
157,집에서 음식을 해 먹는다.,볶음우동,,곱창
158,밖에서 사 먹는다.,학식,일식,가츠동
159,밖에서 사 먹는다.,된장찌개,파스타,치킨
160,밖에서 사 먹는다.,햄버거,없습니다. ,아무거나
161,집에서 음식을 해 먹는다.,찌개,드럽게먹지않을수있는것..?,찜닭
162,집에서 음식을 해 먹는다.,쌀국수,파스타,치킨
163,집에서 음식을 해 먹는다.,사과와 계란,초밥,고기
164,집에서 음식을 해 먹는다.,샐러드,치킨,스파게티
165,밖에서 사 먹는다.,라면,닭갈비,초밥
166,밖에서 사 먹는다.,덮밥류,삼겹살,부대찌개
167,배달을 시킨다.,라면,치킨,파스타
168,밖에서 사 먹는다.,돈가스,"우동,면 요리",돈가스
169,배달을 시킨다.,라면,찌개류,
170,배달을 시킨다.,밥종류,고기,양식
171,밖에서 사 먹는다.,김밥,고기,돈까스
172,배달을 시킨다.,라면,치킨,파스타
173,배달을 시킨다.,떡볶이,치킨,
174,밖에서 사 먹는다.,컵밥,치킨,파스타
175,밖에서 사 먹는다.,햄버거,막창,초밥
176,밖에서 사 먹는다.,돈부리,고기,떡볶이
177,밖에서 사 먹는다.,비빔국수,떡볶이,
178,집에서 음식을 해 먹는다.,샌드위치,치킨,일식
179,밖에서 사 먹는다.,학식,고기,여자친구마음이죠..  제의견이중요합니까
180,집에서 음식을 해 먹는다.,볶음밥,감자탕,
181,배달을 시킨다.,국밥,감자탕,고기
182,밖에서 사 먹는다.,국밥,고기,쏠로인데요...?주륵
183,밖에서 사 먹는다.,참치김밥,닭발,
184,밖에서 사 먹는다.,돈가스,돈가스,
185,밖에서 사 먹는다.,샤브샤브,훠궈,
186,밖에서 사 먹는다.,도시락,야채곱창,
187,배달을 시킨다.,참치볶음밥,고기,파스타
188,밖에서 사 먹는다.,컵밥,치킨,파스타
189,밖에서 사 먹는다.,김밥,돈까스,데이트 해본적 없움
190,밖에서 사 먹는다.,샌드위치,떡볶이,파스타
191,밖에서 사 먹는다.,도시락,삼겹살,면요리(짬뽕)
192,밖에서 사 먹는다.,김밥,고기,피자 타코 
193,밖에서 사 먹는다.,한식,치킨,
194,집에서 음식을 해 먹는다.,간장계란밥,치킨,
195,밖에서 사 먹는다.,짬뽕,고기. 돼지고기 소고기.,그날 내가 먹고싶은거. 주로 곱창
196,밖에서 사 먹는다.,돈부리,목삼겹살,
197,집에서 음식을 해 먹는다.,집밥 및 반찬,일식,
198,밖에서 사 먹는다.,마트 컵밥,닭갈비,고기
199,밖에서 사 먹는다.,제육덮밥,일식,
200,밖에서 사 먹는다.,햄버거,치킨,
201,밖에서 사 먹는다.,치킨,닭갈미,파스타
202,밖에서 사 먹는다.,치킨마요,만두,파스타
203,밖에서 사 먹는다.,라면,치킨,치킨
204,밖에서 사 먹는다.,햄버거,고기,스파게티
205,밖에서 사 먹는다.,기숙사밥,찌개지존,왜 시비냐 ㅡㅡ
206,배달을 시킨다.,햄버거,술/ 치킨?,일식 초밥
207,배달을 시킨다.,햄버거,일본식 덮밥,데이트를 해본적이 없어서 8ㅅ8
208,밖에서 사 먹는다.,햄버거,삼겹살,
209,밖에서 사 먹는다.,뼈해장국,찜닭,떡볶이
210,밖에서 사 먹는다.,밥버거,양꼬치&이과두주,피자
211,밖에서 사 먹는다.,샌드위치(서브웨이),치킨,국밥
212,밖에서 사 먹는다., 돈까스,치킨,"양식(주로 파스타, 샐러드, 스테이크 류)"
213,밖에서 사 먹는다.,덮밥,파스타,
214,밖에서 사 먹는다.,김치찌개,고기,생선초밥
215,밖에서 사 먹는다.,서브웨이,고기,
216,집에서 음식을 해 먹는다.,김치볶음밥,치킨,파스타
217,밖에서 사 먹는다.,제육볶음,찜닭,
218,배달을 시킨다.,덮밥,곱창,
